epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4452,0.97676,1.54705,1.13296,0.40597,0.775,0.49259,0.33047,1.10199,2.49828,1.04119,0.000541775,0.000541775,0.000541775
2,181.608,1.04045,1.2793,1.14556,0.43685,0.825,0.4618,0.30038,1.12837,1.89811,1.15204,0.00104312,0.00104312,0.00104312
3,270.536,1.04865,1.37004,1.14949,0.90277,0.425,0.4175,0.25082,1.42332,1.84993,1.3032,0.00148945,0.00148945,0.00148945
4,359.786,1.0539,1.27737,1.17053,0.3783,0.38886,0.43329,0.29291,1.11607,1.64302,1.11251,0.00141945,0.00141945,0.00141945
5,449.165,1.0888,1.18755,1.18641,0.42718,0.44029,0.45486,0.3286,1.14262,1.2515,1.11767,0.00133693,0.00133693,0.00133693
6,538.147,1.02378,1.15417,1.15464,0.96873,0.37472,0.43831,0.28577,1.18872,1.31291,1.11444,0.00125442,0.00125442,0.00125442
7,627.368,1.01402,1.09988,1.11784,0.94374,0.325,0.41681,0.25905,1.3372,1.28921,1.12894,0.0011719,0.0011719,0.0011719
8,716.342,0.92746,1.17253,1.05788,0.41174,0.425,0.44583,0.29334,1.18396,1.294,1.0775,0.00108938,0.00108938,0.00108938
